ItemID,User 1,User 2,User 3,User 4,User 5
1,0.588,0.581,0.511,0.625,0.581
2,0.606,0.6,0.523,0.645,0.6
3,0.618,0.613,0.533,0.656,0.562
4,0.688,0.531,0.448,0.576,0.633
5,0.4,0.276,0.25,0.4,0.48
6,0.4,0.276,0.25,0.474,0.423
7,0.4,0.276,0.25,0.4,0.423
8,0.4,0.276,0.25,0.4,0.48
9,0.4,0.276,0.25,0.474,0.423
10,0.167,0.158,0.167,0.19,0.167
11,0.48,0.435,0.435,0.5,0.56
12,0.345,0.273,0.286,0.389,0.36
13,0.5,0.455,0.455,0.526,0.414
14,0.522,0.476,0.476,0.556,0.48
15,0.522,0.476,0.476,0.556,0.48
16,0.167,0.158,0.167,0.19,0.167
17,0.167,0.158,0.167,0.19,0.167
18,0.586,0.464,0.36,0.63,0.64
19,0.448,0.423,0.292,0.474,0.481
20,0.5,0.538,0.36,0.536,0.536
21,Visited,0.69,0.511,0.733,0.677
22,Visited,0.615,0.522,0.667,0.68
23,Visited,0.28,0.25,0.438,0.391
24,Visited,0.708,0.545,0.692,0.63
25,Visited,0.211,0.211,0.25,0.16
26,Visited,0.211,0.211,0.25,0.208
27,Visited,0.211,0.211,0.333,0.16
28,Visited,0.211,0.211,0.333,0.16
29,Visited,0.211,0.211,0.25,0.16
30,Visited,0.211,0.211,0.25,0.16
31,Visited,0.211,0.211,0.25,0.16
32,Visited,0.158,0.167,0.19,0.167
33,Visited,0.158,0.167,0.188,0.12
34,Visited,0.158,0.167,0.267,0.12
35,0.522,0.409,0.476,0.545,0.519
36,0.522,0.409,0.476,0.545,0.519
37,0.333,0.3,0.3,0.533,0.333
38,0.56,0.522,0.458,0.6,0.5
39,0.609,0.56,0.5,0.579,0.536
40,0.639,0.543,0.521,0.541,0.543
41,0.611,0.559,0.5,0.6,0.606
42,0.458,0.458,0.381,0.368,0.4
43,0.217,0.263,0.278,0.227,0.2
44,0.615,0.571,0.52,Visited,0.621
45,0.625,0.591,0.478,Visited,0.607
46,0.625,0.591,0.478,Visited,0.607
47,0.583,0.619,0.5,Visited,0.536
48,0.516,0.448,0.386,0.5,0.5
49,0.533,0.464,0.364,0.571,0.577
