itemid,hotelname,hotelid,roomtype_tokens_str,amenity_vector
1,The Harmonie Vienna  BW Premier Collection,31,double,"{'hair dryer', 'alarm clock', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'daily newspaper', 'trouser press', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'on-demand movies', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
2,The Harmonie Vienna  BW Premier Collection,31,double,"{'hair dryer', 'alarm clock', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'daily newspaper', 'trouser press', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
3,The Harmonie Vienna  BW Premier Collection,31,double,"{'hair dryer', 'alarm clock', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'ironing facilities', 'linens', 'sofa', 'satellitecable', 'mirror', 'trouser press', 'desk', 'air conditioning', 'bathrobes', 'smoke detector', 'on-demand movies', 'seating area', 'toiletries', 'heating', 'shower', 'free wi-fi in all rooms', 'soundproofing'}"
4,The Harmonie Vienna  BW Premier Collection,31,suite,"{'hair dryer', 'slippers', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'blackout curtains', 'ironing facilities', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'dart board', 'bathrobes', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'shower', 'free wi-fi in all rooms'}"
5,The Harmonie Vienna  BW Premier Collection,31,double,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
6,The Harmonie Vienna  BW Premier Collection,31,single,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
7,The Harmonie Vienna  BW Premier Collection,31,house,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
8,The Harmonie Vienna  BW Premier Collection,31,double,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
9,The Harmonie Vienna  BW Premier Collection,31,single,"{'safebox', 'coffeetea maker', 'hair dryer', 'slippers', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping'}"
10,The Harmonie Vienna  BW Premier Collection,31,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
11,Hotel Villa Carlton,1429,double,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'closet', 'free bottled water', 'satellitecable', 'ipod docking station', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping'}"
12,Hotel Villa Carlton,1429,house,"{'safebox', 'hair dryer', 'toiletries', 'free bottled water', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping'}"
13,Hotel Villa Carlton,1429,suite,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'closet', 'free bottled water', 'satellitecable', 'shower', 'ipod docking station', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
14,Hotel Villa Carlton,1429,double,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'closet', 'free bottled water', 'satellitecable', 'ipod docking station', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
15,Hotel Villa Carlton,1429,double,"{'safebox', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'woodenparqueted flooring', 'closet', 'free bottled water', 'satellitecable', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
16,Hotel Villa Carlton,1429,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
17,Hotel Villa Carlton,1429,double,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
18,Hotel IMLAUER & Brau,1520,double,"{'dart board', 'safebox', 'smoke detector', 'telephone', 'wake-up service', 'coffeetea maker', 'hair dryer', 'heating', 'toiletries', 'closet', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'blackout curtains', 'daily housekeeping', 'soundproofing'}"
19,Hotel IMLAUER & Brau,1520,family,"{'safebox', 'telephone', 'coffeetea maker', 'hair dryer', 'toiletries', 'blackout curtains', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'dart board', 'daily housekeeping', 'soundproofing'}"
20,Hotel IMLAUER & Brau,1520,family,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'coffeetea maker', 'hair dryer', 'heating', 'toiletries', 'closet', 'minibar', 'tv [flat screen]', 'sofa', 'shower', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'soundproofing'}"
21,Austria Trend Hotel Europa Graz,2243,executive,"{'carpeting', 'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
