userid,itemid,room_types,room_ammenities
1,21,executive,"{'carpeting', 'hair dryer', 'slippers', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
1,70,suite,"{'hair dryer', 'slippers', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'towels', 'minibar', 'dvdcd player', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'whirlpool bathtub', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
1,160,executive,"{'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'ironing facilities', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'daily housekeeping', 'seating area', 'heating', 'woodenparqueted flooring', 'shower', 'free wi-fi in all rooms', 'soundproofing'}"
1,440,vip,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'satellitecable', 'desk', 'air conditioning', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'fan'}"
2,444,family,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'telephone', 'linens', 'sofa', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'bathrobes', 'seating area', 'toiletries', 'clothes rack', 'heating', 'free wi-fi in all rooms', 'soundproofing'}"
2,579,family,"{'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'clothes rack', 'heating', 'alarm clock', 'toiletries', 'closet', 'towels', 'linens', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
2,770,double,"{'hair dryer', 'slippers', 'alarm clock', 'closet', 'separate dining area', 'additional bathroom', 'kitchenware', 'safebox', 'wake-up service', 'coffeetea maker', 'interconnecting rooms', 'refrigerator', 'microwave', 'towels', 'minibar', 'free bottled water', 'telephone', 'dressing room', 'ironing facilities', 'cleaning products', 'linens', 'sofa', 'satellitecable', 'mirror', 'trouser press', 'desk', 'air conditioning', 'bathrobes', 'private entrance', 'full kitchen', 'smoke detector', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'extra long bed', 'clothes dryer', 'mosquito net', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
3,751,apartment,"{'safebox', 'telephone', 'seating area', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'closet', 'towels', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
3,771,single,"{'hair dryer', 'slippers', 'alarm clock', 'closet', 'separate dining area', 'additional bathroom', 'kitchenware', 'safebox', 'wake-up service', 'coffeetea maker', 'refrigerator', 'towels', 'minibar', 'free bottled water', 'telephone', 'dressing room', 'ironing facilities', 'cleaning products', 'linens', 'sofa', 'satellitecable', 'mirror', 'trouser press', 'desk', 'air conditioning', 'bathrobes', 'private entrance', 'full kitchen', 'smoke detector', 'seating area', 'high chair', 'toiletries', 'clothes rack', 'heating', 'woodenparqueted flooring', 'clothes dryer', 'mosquito net', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
3,779,standard,"{'safebox', 'ironing facilities', 'carpeting', 'smoke detector', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'linens', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms', 'laptop safe box'}"
4,45,double,"{'sewing kit', 'safebox', 'smoke detector', 'telephone', 'wake-up service', 'hair dryer', 'toiletries', 'heating', 'closet', 'towels', 'minibar', 'linens', 'satellitecable', 'shoeshine kit', 'desk', 'air conditioning', 'free wi-fi in all rooms', 'fan'}"
4,84,double,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
4,155,single,"{'safebox', 'telephone', 'seating area', 'wake-up service', 'hair dryer', 'toiletries', 'woodenparqueted flooring', 'minibar', 'satellitecable', 'desk', 'air conditioning', 'free wi-fi in all rooms'}"
5,81,family,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'additional toilet', 'linens', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan', 'soundproofing'}"
5,124,double,"{'carpeting', 'hair dryer', 'closet', 'safebox', 'wake-up service', 'towels', 'minibar', 'free bottled water', 'telephone', 'blackout curtains', 'ironing facilities', 'cleaning products', 'linens', 'satellitecable', 'trouser press', 'desk', 'air conditioning', 'dart board', 'daily housekeeping', 'smoke detector', 'on-demand movies', 'toiletries', 'heating', 'free wi-fi in all rooms', 'fan'}"
5,702,double,"{'carpeting', 'hair dryer', 'closet', 'laptop safe box', 'safebox', 'wake-up service', 'coffeetea maker', 'towels', 'minibar', 'telephone', 'blackout curtains', 'linens', 'satellitecable', 'mirror', 'desk', 'air conditioning', 'daily housekeeping', 'toiletries', 'heating', 'extra long bed', 'free wi-fi in all rooms'}"
