TargetUserID,1stNNUserID,2ndNNUserID,3rdNNUserID,4thNNUserID,5thNNUserID,TopBooks (ISBN:Rating)
6251,53174,52584,56447,23872,88693,"080410526X:10.0, 743418174:10.0, 044651652X:10.0, 446605239:10.0, 452282152:9.95"
6575,93047,88693,91113,53174,23902,"1558744150:8.59, 380718340:8.59, 142001740:8.36, 446310786:7.88, 671001795:7.73"
7346,91113,53174,101851,52584,21014,"440998050:10.0, 553250426:10.0, 385484518:10.0, 044651652X:10.0, 380718340:10.0"
11676,105979,56447,6251,68555,88693,"440206154:10.0, 60938455:10.0, 446310786:9.26, 312980140:9.09, 156027321:8.7"
13552,17950,70666,53174,52584,101851,"385722206:10.0, 142001740:10.0, 446605239:10.0, 446310786:10.0, 380813815:10.0"
16795,88693,53174,35857,52584,95932,"440234743:9.95, 439064864:9.86, 385484518:9.82, 345361792:9.62, 142001740:9.45"
17950,53174,88693,93047,70666,13552,"380018179:9.9, 446310786:9.9, 316666343:9.64, 043935806X:9.64, 044023722X:9.64"
21014,53174,105028,88693,52584,56447,"044651652X:10.0, 345350499:9.41, 345313860:9.36, 312980140:9.1, 743418174:9.07"
23872,53174,101851,93047,88693,69389,"399501487:10.0, 316776963:10.0, 345342968:10.0, 345361792:10.0, 345378490:10.0"
23902,88693,93047,95932,6575,53174,"679781587:10.0, 1558744150:9.51, 439064864:9.51, 380718340:9.51, 316096199:9.51"
28634,53174,23902,101851,23872,68555,"439064864:10.0, 440234743:10.0, 385484518:10.0, 385504209:10.0, 043935806X:10.0"
30735,101851,6575,56447,69389,75819,"014028009X:10.0, 345313860:10.0, 345370775:10.0, 345378490:10.0, 380718340:10.0"
35857,88693,93047,6575,53174,95932,"446672211:8.04, 671001795:8.04, 553280368:8.04, 553280341:8.04, 380718340:8.04"
35859,56447,53174,52584,95932,88693,"671041789:10.0, 446310786:10.0, 380018179:10.0, 385504209:10.0, 452282152:9.67"
37712,88693,53174,68555,91113,93047,"553280368:10.0, 446672211:10.0, 140298479:10.0, 1558744150:10.0, 345350499:9.63"
37950,95932,53174,23902,52584,88733,"316096199:8.7, 345350499:8.19, 380002930:7.85, 345339681:7.64, 385484518:7.64"
43246,52584,53174,101851,56447,6575,"446605239:10.0, 142001740:10.0, 440998050:10.0, 345350499:10.0, 345313860:9.98"
46398,53174,93047,88693,95932,23872,"380718340:8.75, 439064864:8.75, 671001795:8.75, 059035342X:8.75, 553280368:8.75"
52584,53174,56447,105028,101851,88693,"446310786:10.0, 067976402X:10.0, 345361792:10.0, 679781587:10.0, 312966970:10.0"
53174,88693,23872,101851,91113,52584,"842329129:10.0, 60928336:10.0, 385722206:10.0, 385504209:10.0, 345342968:10.0"
56447,93047,53174,75819,88693,52584,"439139597:9.12, 380813815:9.12, 440998050:9.12, 440498058:9.12, 156027321:8.83"
66942,56447,53174,101851,23872,105517,"440998050:10.0, 345361792:10.0, 044651652X:10.0, 609804138:10.0, 068484267X:10.0"
68555,88693,53174,37712,23902,75819,"553250426:10.0, 380813815:9.91, 080410526X:9.91, 60938455:9.66, 140298479:9.62"
69389,75819,101851,23872,53174,93047,"679781587:10.0, 440211727:9.69, 044021145X:9.52, 446672211:9.52, 059035342X:9.52"
70666,53174,35857,91113,105028,17950,"553280368:10.0, 059035342X:10.0, 553280341:10.0, 068484267X:10.0, 446610038:9.84"
75819,101851,69389,88693,53174,56447,"399501487:10.0, 044021145X:10.0, 449212602:10.0, 446310786:10.0, 316601950:10.0"
88693,53174,93047,91113,23902,95932,"679781587:10.0, 380718340:9.7, 553280341:9.7, 553280368:9.7, 067976402X:9.7"
88733,95932,93047,53174,88693,35857,"440234743:10.0, 312195516:10.0, 385484518:10.0, 380718340:10.0, 446610038:10.0"
89602,37712,88693,56447,95932,93047,"60938455:10.0, 553280341:9.24, 059035342X:8.93, 440998050:8.69, 449212602:8.37"
91113,53174,88693,93047,6575,23872,"842329129:10.0, 345350499:10.0, 385484518:10.0, 385722206:10.0, 439064864:10.0"
93047,88693,6575,95932,53174,23902,"679781587:9.67, 449212602:9.37, 316096199:9.37, 440998050:9.37, 553280341:9.37"
95359,56447,52584,88693,53174,101851,"60938455:10.0, 156027321:10.0, 380718340:10.0, 345342968:10.0, 044651652X:10.0"
95932,93047,88693,23902,53174,88733,"671001795:9.77, 316096199:9.77, 446672211:9.77, 446610038:9.77, 553280341:9.77"
101851,53174,75819,23872,69389,52584,"452282152:10.0, 345342968:9.8, 068484267X:9.8, 440221471:9.77, 440234743:9.77"
102647,105028,70666,53174,93047,91113,"380002930:9.98, 380813815:9.78, 609804138:9.78, 385484518:9.58, 312980140:9.55"
104636,37950,52584,13552,69389,17950,"345350499:10.0, 679781587:10.0, 446606812:10.0, 446605239:10.0, 440998050:10.0"
105028,56447,21014,53174,52584,35857,"380002930:9.88, 312924585:9.68, 385484518:9.48, 671041789:8.84, 316601950:8.81"
105517,56447,53174,95932,88693,66942,"156027321:9.05, 439064864:8.8, 380718340:8.8, 316096199:8.8, 609804138:8.48"
105979,52584,37950,56447,70666,88693,"345350499:8.07, 380002930:8.07, 842329129:7.73, 067976402X:7.61, 059035342X:7.59"
107784,23902,88693,68555,93047,37950,"044651652X:9.47, 446310786:9.31, 449212602:9.31, 590353403:9.23, 446610038:8.98"
